,0
1096,RBMS2
1097,PTPN23
1098,MLH1
1099,UNG
1100,FMO4
1101,KLHL20
1102,RGS11
1103,SLC46A1
1104,PLXNA2
1105,SPAG5
1106,ANKRD13A
1107,TPD52
1108,ACACB
1109,TRAF4
1110,PAG1
1111,GPATCH1
1112,ICAM3
1113,NT5C2
1114,MCAM
1115,GPC4
1116,MBNL3
1117,RAP1GAP
1118,XAB2
1119,ARHGEF1
1120,STXBP2
1121,MAP2K7
1122,DGKD
1123,CTTNBP2
1124,RARB
1125,TOP2B
1126,TM9SF3
1127,NFKB2
1128,UBE2T
1129,PPP1R12B
1130,DNAJC10
1131,GTF3C1
1132,IL4R
1133,USP33
1134,PAK3
1135,CAPN6
1136,SNRPA
1137,EXOSC5
1138,DYNC1I2
1139,APBB1IP
1140,FAM76B
1141,SIRT6
1142,POLD3
1143,ACTN2
1144,CAPZB
1145,GPR137B
1146,NAALAD2
1147,SLC25A43
1148,UBE2A
1149,FGFR1
1150,FKBP6
1151,SMC1B
1152,FBLN1
1153,ITGA8
1154,CST7
1155,MAP2
1156,PIAS2
1157,AMPH
1158,ARAF
1159,MCCC1
1160,LAMP3
1161,FAP
1162,NEBL
1163,PIK3C3
1164,N4BP2
1165,TULP3
1166,SYNJ2
1167,ADCY2
1168,PPP2R5C
1169,GNB1
1170,HOXA9
1171,EDN1
1172,MLLT10
1173,ZCWPW1
1174,ADCYAP1R1
1175,ITM2A
1176,VDAC3
1177,PCM1
1178,TNRC6C
1179,CBFA2T2
1180,ITCH
1181,TP53INP2
1182,SDF4
1183,MYH7B
1184,TP73
1185,TOLLIP
1186,UBE2D4
1187,CLUL1
1188,RUNX1T1
1189,CDH17
1190,THOC1
1191,FKBP7
1192,OSBPL6
1193,SLC1A3
1194,XRCC5
1195,LXN
1196,SP140
1197,MKNK1
1198,TNS1
1199,REXO1
1200,SAR1A
1201,CDC14A
1202,RAPGEF3
1203,CEACAM1
1204,SENP1
1205,CIC
1206,LIPE
1207,FDFT1
1208,PAFAH1B3
1209,OPHN1
1210,KIF22
1211,PGM1
1212,DDX1
1213,DNM2
1214,EPB41L2
1215,RIMS1
1216,MOXD1
1217,STX7
1218,KEAP1
1219,DDX43
1220,PTPRH
1221,SLC35C2
1222,EPHA6
1223,RFX3
1224,RIF1
1225,RAB21
1226,SLC4A4
1227,SMARCA2
1228,SESN1
1229,MID2
1230,COL5A3
1231,SRCAP
1232,CPB2
1233,CHRNA3
1234,KCNN2
1235,CNOT4
1236,PSEN1
1237,CPOX
1238,CLDND1
1239,HSP90AA1
1240,RBL1
1241,DLGAP4
1242,NDC80
1243,AP4E1
1244,RSBN1
1245,MAGI3
1246,CXCL2
1247,COL4A4
1248,TCF7
1249,OSTM1
1250,IMPG2
1251,PCNP
1252,ARG2
1253,MEF2C
1254,PTPRC
1255,PKP1
1256,STK17B
1257,CDC14B
1258,ZNF510
1259,LRP2
1260,JMJD4
1261,DUSP12
1262,AACS
1263,KIAA0141
1264,CADPS2
1265,PCDHB4
1266,ATP8B1
1267,IL12RB2
1268,SMARCD3
1269,WDR70
1270,BZW1
1271,PGR
1272,C1QTNF3
1273,ME2
1274,C5orf22
1275,CCNT2
1276,FAM135A
1277,COL19A1
1278,EPB41L3
1279,COBLL1
1280,DLG3
1281,KCNK2
1282,SERTAD4
1283,TRAF5
1284,MRPL22
1285,GEMIN5
1286,OPRK1
1287,SEMA5B
1288,GSK3B
1289,ITGB5
1290,ERC1
1291,XPO1
1292,RNF13
1293,TRPM3
1294,PALB2
1295,DOPEY1
1296,LYRM2
1297,BCKDHB
1298,ZCCHC6
1299,ULK2
1300,GRHL2
1301,TNPO1
1302,PLOD1
1303,P2RX5
1304,ITGAE
1305,DIS3
1306,TDRD3
1307,NUFIP1
1308,PDS5B
1309,OXCT1
1310,RRAGB
1311,EPYC
1312,CYLD
1313,SLC27A5
1314,ZNF324
1315,ZNF671
1316,ZNF416
1317,ZNF586
1318,ZNF446
1319,ZNF264
1320,RPS5
1321,YTHDC1
1322,CHMP2B
1323,PPIE
1324,ZMPSTE24
1325,STARD7
1326,REST
1327,HAL
1328,SSH1
1329,GSTP1
1330,APLP2
1331,SLCO1A2
1332,WBP11
1333,EIF3I
1334,COL16A1
1335,TXLNA
1336,APOB
1337,NCOA1
1338,AGBL5
1339,KIF3C
1340,RAB10
1341,GCKR
1342,HADHA
1343,MAPRE3
1344,CAD
1345,CD59
1346,CD82
1347,BCORL1
1348,ATRX
1349,FCN1
1350,MYNN
1351,SCAMP1
1352,PREP
1353,HACE1
1354,SEH1L
1355,WDR47
1356,WDFY1
1357,OVGP1
1358,SLC25A24
1359,MAP3K4
1360,PILRA
1361,IGSF9
1362,ABCB1
1363,ZNF213
1364,AKR1B1
1365,CPNE3
1366,RRN3
1367,CTTN
1368,MTIF2
1369,DDHD2
1370,EPS15
1371,MGST2
1372,CHERP
1373,ATG16L1
1374,USP40
1375,POMGNT1
1376,RAD54L
1377,MAST2
1378,DNAJA1
1379,CHMP5
1380,NFX1
1381,AQP6
1382,IPO11
1383,FOLH1
1384,EIF2AK1
1385,EPDR1
1386,SNX10
1387,SEPHS1
1388,HBQ1
1389,ITPKC
1390,CEACAM6
1391,FAT2
1392,RBM22
1393,TMED2
1394,ZFAND6
1395,HSD17B2
1396,PPEF1
1397,LAT2
1398,HUWE1
1399,ZW10
1400,ALG9
1401,MYBPC2
1402,NOX4
1403,ACOX3
1404,MTMR2
1405,PPP1R15A
1406,HSD17B14
